"OriginalLocation","FixedLocation","Latitude","Longitude","PlaceId"
"Annapolis, Maryland","Annapolis, Anne Arundel County, Maryland, United States","38.9786401","-76.492786","3809116"
"Annapolis, Maryland","Annapolis, Anne Arundel County, Maryland, United States","38.9786401","-76.492786","3809116"
"Severna Park, MD","Severna Park, Anne Arundel County, Maryland, 21146, United States","39.070388","-76.5452409","5151962"
"Norfolk, VA","Norfolk, Virginia, United States","36.8448348","-76.2863999","3098168"
"SEVERN, MD","Severn, Anne Arundel County, Maryland, 21144, United States","39.1278864","-76.6869128","5068138"
"North Texas","North, Liberty County, Texas, 77372, United States","30.2522489","-95.1032605","293730139"
"St Helens, OR","Saint Helens, Columbia County, Oregon, 97051, United States","45.8640034","-122.8064922","313903887"
"Jacksonville","Jacksonville, Duval County, Florida, United States","30.3321838","-81.655651","291577704"
"Annapolis","Annapolis, Anne Arundel County, Maryland, United States","38.9786401","-76.492786","3809116"
"Greenwood","Greenwood County, Kansas, United States","37.8709542","-96.2471338","316695277"
"Annapolis, MD","Annapolis, Anne Arundel County, Maryland, United States","38.9786401","-76.492786","3809116"
"Fredericksburg VA","Fredericksburg, Virginia, United States","38.3031837","-77.4605399","3670430"
"Saint Helens Oregon","Saint Helens, Columbia County, Oregon, 97051, United States","45.8640034","-122.8064922","313903887"
"St. Helens, Oregon","Saint Helens, Columbia County, Oregon, 97051, United States","45.8640034","-122.8064922","313903887"
"St.Helens,OR","Saint Helens, Columbia County, Oregon, 97051, United States","45.8640034","-122.8064922","313903887"
"Greenwood","Greenwood County, Kansas, United States","37.8709542","-96.2471338","316695277"
"Bowie, MD","Bowie, Prince George's County, Maryland, United States","38.9424464","-76.7301718","3859668"
"St. Helens","St Helens, Liverpool City Region, England, United Kingdom","53.4535471","-2.7343231","271184724"
"St. Helens Oregon","Saint Helens, Columbia County, Oregon, 97051, United States","45.8640034","-122.8064922","313903887"
"Rio Rancho New Mexico","Rio Rancho, Sandoval County, New Mexico, United States","35.2702448","-106.6329806","318054193"
"Chicago, IL","Chicago, Cook County, Illinois, United States","41.8755616","-87.6244212","26279198"
"Pasadena, MD","Pasadena, Anne Arundel County, Maryland, United States","39.155815950000004","-76.55288309143504","5140534"
"Waterloo, Illinois","Waterloo, Monroe County, Illinois, United States","38.3358857","-90.1498341","322710800"
"Chambersburg, PA","Chambersburg, Franklin County, Pennsylvania, United States","39.9375112","-77.6612586","5906372"
"Fond du Lac, WI","Fond du Lac County, Wisconsin, United States","43.7533414","-88.4493796","27318817"
"Bowie, Maryland","Bowie, Prince George's County, Maryland, United States","38.9424464","-76.7301718","3859668"
"Lumberton, NC","Lumberton, Robeson County, North Carolina, United States","34.6183305","-79.008205","838446"
"Annapolis Maryland","Annapolis, Anne Arundel County, Maryland, United States","38.9786401","-76.492786","3809116"
"Annapolis","Annapolis, Anne Arundel County, Maryland, United States","38.9786401","-76.492786","3809116"
"Alabaster AL","Alabaster, Shelby County, Alabama, 35007, United States","33.2442813","-86.8163773","369781521"
"Texas","Texas, United States","31.2638905","-98.5456116","305234088"
"El Paso","El Paso, El Paso County, Texas, United States","31.7550511","-106.488234","305353992"
"Cartersville, GA","Cartersville, Bartow County, Georgia, 30120, United States","34.1652304","-84.7997613","327814935"
"Austell, Georgia","Austell, Cobb County, Georgia, United States","33.8126059","-84.6343783","328137253"
"Albuquerque, New Mexico","Albuquerque, Bernalillo County, New Mexico, United States","35.0841034","-106.650985","318074776"
"Annapolis MD","Annapolis, Anne Arundel County, Maryland, United States","38.9786401","-76.492786","3809116"
"Waterloo, IL","Waterloo, Monroe County, Illinois, United States","38.3358857","-90.1498341","322710800"
"Eugene, Oregon","Eugene, Lane County, Oregon, United States","44.0505054","-123.0950506","314491274"
"St. LOUIS, MO","Saint Louis, Missouri, United States","38.6280278","-90.1910154","322983104"
"PAGO PAGO, AS","Pago Pago, Maʻopūtasi County, Eastern District, American Samoa, United States","-14.2754786","-170.7048298","32800013"
"American Samoa","American Samoa, United States","-14.297124","-170.7131481","32805879"
"Pago Pago, American Samoa","Pago Pago, Maʻopūtasi County, Eastern District, American Samoa, United States","-14.2754786","-170.7048298","32800013"
"Annapolis MD","Annapolis, Anne Arundel County, Maryland, United States","38.9786401","-76.492786","3809116"
"Essex, Md.","Essex, Baltimore County, Maryland, 21221, United States","39.3075071","-76.4790355","5190383"
"Deltaville, VA","Deltaville, Middlesex County, Virginia, 23043, United States","37.5548568","-76.3368883","383621063"
"Fort Scott, KS","Fort Scott, Bourbon County, Kansas, 66701, United States","37.8399791","-94.7082882","322190760"
"Winter Garden, FL","Winter Garden, Orange County, Florida, 34787, United States","28.5656649","-81.5856742","292223086"
"Modesto, CA","Modesto, Stanislaus County, California, United States","37.6390972","-120.996878","310572628"
"Terre Haute","Terre Haute, Vigo County, Indiana, United States","39.4667025","-87.4139119","324065568"
"Ft. Scott, Kansas","Fort Scott, Bourbon County, Kansas, 66701, United States","37.8399791","-94.7082882","322190760"
"Modesto, CA","Modesto, Stanislaus County, California, United States","37.6390972","-120.996878","310572628"
"Modesto California","Modesto, Stanislaus County, California, United States","37.6390972","-120.996878","310572628"
"Modesto California","Modesto, Stanislaus County, California, United States","37.6390972","-120.996878","310572628"
"Cartersville, Ga","Cartersville, Bartow County, Georgia, 30120, United States","34.1652304","-84.7997613","327814935"
"Clinton, OK","Clinton, Custer County, Oklahoma, 73601, United States","35.5156056","-98.9673069","319318287"
"Modesto California","Modesto, Stanislaus County, California, United States","37.6390972","-120.996878","310572628"
"Modesto, CA","Modesto, Stanislaus County, California, United States","37.6390972","-120.996878","310572628"
"Baltimore","Baltimore, Maryland, United States","39.2908816","-76.610759","5444564"
"Deale, Maryland","Deale, Anne Arundel County, Maryland, United States","38.7918764","-76.54928589820895","3848060"
"Riverbank, Ca","Riverbank, Stanislaus County, California, 95367, United States","37.7360396","-120.9354895","310624022"
"Colorado Springs","Colorado Springs, El Paso County, Colorado, United States","38.8339578","-104.825348","317424212"
"Tracy ca","Tracy, San Joaquin County, California, United States","37.72067005","-121.42778512032798","310788417"
"Maryland","Maryland, United States","39.5162401","-76.9382069","4511521"
"Lexington South Carolina","Lexington County, South Carolina, United States","33.8986841","-81.275054","552115"
"San Diego, CA","San Diego, San Diego County, California, United States","32.7174202","-117.162772","307554338"
"Austin Tx","Austin, Travis County, Texas, United States","30.2711286","-97.7436995","305086781"
"Fort Wayne, IN","Fort Wayne, Allen County, Indiana, United States","41.0799898","-85.1386015","25599742"
"Clinton","Clinton County, Illinois, United States","38.5896187","-89.420064","323498096"
"Clinton  Oklahoma","Clinton, Custer County, Oklahoma, 73601, United States","35.5156056","-98.9673069","319318287"
"San Diego","San Diego, San Diego County, California, United States","32.7174202","-117.162772","307554338"
"Oakdale","Oakdale, Washington County, Minnesota, 55128, United States","44.985624","-92.9645794","28822239"
"Auburn, Maine","Auburn, Androscoggin County, Maine, 04210, United States","44.0972546","-70.2254085","19431491"
"Turlock","Turlock, Stanislaus County, California, United States","37.4946568","-120.8465941","310606106"
"Myrtle Beach, South Carolina","Myrtle Beach, Horry County, South Carolina, 29577, United States","33.6956461","-78.8900409","739097"
"Harpers Ferry, WV","Harpers Ferry, Jefferson County, West Virginia, United States","39.323418","-77.7319766","4887682"
"Whittier, CA","Whittier, California, United States","33.9749136","-118.0338664","305890653"
"Fallbrook, CA","Fallbrook, San Diego County, California, 92028, United States","33.3764196","-117.2511466","306271638"
"Waterloo, Il","Waterloo, Monroe County, Illinois, United States","38.3358857","-90.1498341","322710800"
"kansas","Kansas, United States","38.27312","-98.5821872","316653729"
"Bracey, VA","Bracey, Mecklenburg County, Virginia, 23919, United States","36.599589","-78.1430505","3272157"
"Port St Joe, Florida","Port Saint Joe, Gulf County, Florida, United States","29.8118757","-85.302974","292874876"
"Waterloo, IL","Waterloo, Monroe County, Illinois, United States","38.3358857","-90.1498341","322710800"
"independence","Independence, Jackson County, Missouri, United States","39.0924792","-94.4137923","322559034"
"Panama new york","Village of Panama, Town of Harmony, Chautauqua County, New York, United States","42.075056","-79.483105","6554906"
"Jamestown, NY","Jamestown, Chautauqua County, New York, United States","42.0965167","-79.2380322","6547433"
"Spokane Washington","Spokane, Spokane County, Washington, United States","47.6571934","-117.42351","314710131"
"Warren","Warren County, Pennsylvania, United States","41.8119602","-79.2654452","6468198"
"Maryland","Maryland, United States","39.5162401","-76.9382069","4511521"
"Mombasa, Kenya","Mombasa, Mvita, Mombasa, Coast, 80100, Kenya","-4.05052","39.667169","63390755"
"St. Johns, Michigan","St. Johns, Clinton County, Michigan, 48879, United States","43.000928","-84.5585098","27003589"
"Panama, NY","Village of Panama, Town of Harmony, Chautauqua County, New York, United States","42.075056","-79.483105","6554906"
"Charlotte, NC","Charlotte, Mecklenburg County, North Carolina, United States","35.2272086","-80.8430827","326601056"
"Marietta NY","Marietta, Town of Marcellus, Marcellus, Onondaga County, New York, 13108, United States","42.9090587","-76.3232396","9049095"
"Cortland NY","Cortland County, New York, United States","42.5842136","-76.0704906","9045548"
"Homer, ny","Town of Homer, Cortland County, New York, 13077, United States","42.6370141","-76.1788174","8993769"
"Morehead City, North Carolina","Morehead City, Carteret County, North Carolina, 28557, United States","34.7229391","-76.7260436","1341594"
"Courtland NY","Courtland Drive, West Bay Shore, Town of Islip, Suffolk County, New York, 11706, United States","40.72107","-73.2780173","16283994"
"Cortland, New York","Cortland County, New York, United States","42.5842136","-76.0704906","9045548"
"Cortland NY","Cortland County, New York, United States","42.5842136","-76.0704906","9045548"
"Cortland, NY","Cortland County, New York, United States","42.5842136","-76.0704906","9045548"
"NY","New York, United States","43.1561681","-75.8449946","9827405"
"Little York, NY","Little York, Town of Carlisle, Schoharie County, New York, United States","42.7570191","-74.4968038","9680060"
"Cortland, NY","Cortland County, New York, United States","42.5842136","-76.0704906","9045548"
"Cortland, NY","Cortland County, New York, United States","42.5842136","-76.0704906","9045548"
"Little York, NY","Little York, Town of Carlisle, Schoharie County, New York, United States","42.7570191","-74.4968038","9680060"
"Severna Park, Maryland","Severna Park, Anne Arundel County, Maryland, 21146, United States","39.070388","-76.5452409","5151962"
"Fort Scott, Kansas","Fort Scott, Bourbon County, Kansas, 66701, United States","37.8399791","-94.7082882","322190760"
"Cortland, NY","Cortland County, New York, United States","42.5842136","-76.0704906","9045548"
"Cortland NY","Cortland County, New York, United States","42.5842136","-76.0704906","9045548"
"Severna Park, Maryland","Severna Park, Anne Arundel County, Maryland, 21146, United States","39.070388","-76.5452409","5151962"
"Morehead City, North Carolina","Morehead City, Carteret County, North Carolina, 28557, United States","34.7229391","-76.7260436","1341594"
"Suffolk","Suffolk, England, United Kingdom","52.241001350000005","1.0466830312565236","172469744"
"Morehead City NC","Morehead City, Carteret County, North Carolina, 28557, United States","34.7229391","-76.7260436","1341594"
"Syracuse, NY","City of Syracuse, Onondaga County, New York, United States","43.0481221","-76.1474244","8914331"
"Homer ny","Town of Homer, Cortland County, New York, 13077, United States","42.6370141","-76.1788174","8993769"
"Ny","New York, United States","43.1561681","-75.8449946","9827405"
"Homer, NY","Town of Homer, Cortland County, New York, 13077, United States","42.6370141","-76.1788174","8993769"
"Cortland","Cortland County, New York, United States","42.5842136","-76.0704906","9045548"
"Tully, NY","Village of Tully, Town of Tully, Onondaga County, New York, United States","42.798123","-76.1093696","9002939"
"Kingston, PA","Kingston, Luzerne County, Pennsylvania, United States","41.2620137","-75.897197","13093248"
"Columbia City, Oregon","Columbia City, Columbia County, Oregon, 97018, United States","45.8897971","-122.808645","313957371"
"Maryland","Maryland, United States","39.5162401","-76.9382069","4511521"
"Horseheads, NY","Village of Horseheads, Town of Horseheads, Chemung County, New York, 14845, United States","42.1669832","-76.8202973","9345641"
"Elmira, NY","City of Elmira, Chemung County, New York, United States","42.0897965","-76.8077338","9365832"
